Name,ticker,Price,Rank,Volume,Market Cap
Bitcoin,BTC,57699.25377146654,1,52864348686.68749,1077662291217.3018
Ethereum,ETH,2055.119941376941,2,25922640059.410095,237137560320.36795
Binance Coin,BNB,412.5345195953499,3,4488976686.049588,63750108221.70649
XRP,XRP,1.01225221134248,4,11990077675.771849,45960328394.69729
Tether,USDT,1.0014188134366,5,99989009607.81143,43701714977.047264
Cardano,ADA,1.20523828394972,6,2345767156.1788683,38505325645.46152
Polkadot,DOT,40.6742047687517,7,1918355714.5302875,37696087113.114525
Uniswap,UNI,29.54133386262695,8,402720576.3399699,15458596909.572914
Litecoin,LTC,223.51910086325017,9,4588668570.040406,14920439672.930376
Chainlink,LINK,32.08626897839638,10,1217701147.244085,13396323928.806553
THETA,THETA,12.90833553153717,11,550866432.1409793,12908335531.53717
Bitcoin Cash,BCH,629.7814792935329,12,3406848131.7545314,11778594392.11193
Stellar,XLM,0.49250872553861,13,1537432080.5939527,11225758508.227205
USD Coin,USDC,1.00147845692715,14,1459871802.6108801,10963460775.759876
Filecoin,FIL,152.54554159215212,15,2400089988.913181,9947994811.509579
TRON,TRX,0.12053982398516,16,6513490210.7822485,8637842486.1552
Wrapped Bitcoin,WBTC,57697.22647552765,17,147744846.25132516,8190275518.099226
Dogecoin,DOGE,0.0608926643601,18,1038082055.8099847,7861252679.001914
Klaytn,KLAY,3.16310579701462,19,115958522.93549213,7743470026.170188
VeChain,VET,0.11585507542819,20,1043554952.9482676,7451286023.268156
Solana,SOL,26.47748144134657,21,402119559.9684292,7106995204.42962
BitTorrent,BTT,0.00934781358403,22,3004029959.622257,6169114112.791256
Terra,LUNA,15.90215141219573,23,226628120.66814995,6108301776.076007
EOS,EOS,6.27479655724338,24,3812092772.9462028,5975909629.688221
IOTA,MIOTA,1.87817225052964,25,279022702.6502641,5220436647.037397
Crypto.com Coin,CRO,0.20184945098759,26,96412032.84659524,5099325444.022169
Monero,XMR,271.47810022136116,27,534242302.14043325,4854621393.598004
Binance USD,BUSD,1.00158556025171,28,4512622757.15732,4631219430.625707
Tezos,XTZ,6.04326776108088,29,567008794.1844314,4627677362.324673
Bitcoin SV,BSV,243.5463038203883,30,1279361762.644777,4554371079.807963
FTX Token,FTT,48.23400549137412,31,143166213.92942807,4550731667.29495
Aave,AAVE,362.40506916618466,32,260231367.75848404,4521482733.990767
Neo,NEO,61.40330314290855,33,1097171518.8553133,4331317223.239395
Cosmos,ATOM,20.0370240346472,34,486278980.1612829,4247912024.918704
Avalanche,AVAX,30.37053156505972,35,174989809.27346426,3889088993.7902803
Kusama,KSM,458.48269222649975,36,343132882.30557823,3883393360.7159543
Holo,HOT,0.02252935368988,37,866394056.8694456,3811160072.401072
NEM,XEM,0.40776462019837,38,358986458.29734737,3669881581.3775654
Algorand,ALGO,1.33477856746424,39,251011264.1302502,3542760831.4463224
Huobi Token,HT,17.4960785191809,40,665965728.4587882,3198763320.136363
Dai,DAI,1.00222758702628,41,288685332.65848017,3184526266.7553306
Elrond,EGLD,180.50821403258507,42,117627244.07250403,3118017024.477261
PancakeSwap,CAKE,20.49637406734276,43,960946793.5316925,3067052214.40608
Dash,DASH,265.06509023633265,44,939730776.2172619,2668821078.1066794
Chiliz,CHZ,0.47345138172224,45,1767422775.319155,2644870485.0963926
Bitcoin BEP2,BTCB,57528.16172938083,46,72477968.46749164,2630721568.362093
Enjin Coin,ENJ,3.16050310517035,47,2184325768.123091,2636851218.7974467
Hedera Hashgraph,HBAR,0.32269695363605,48,184213265.9673086,2554748213.3301096
Decred,DCR,188.0099330120093,49,20330315.59595749,2406306113.7607093
THORChain,RUNE,9.97954937356529,50,98345252.54115482,2310522764.125781
NEAR Protocol,NEAR,6.71121341714193,51,124932502.89381155,2304605708.3102
Compound,COMP,451.7428208929647,52,200596793.9860413,2285622022.302429
Zilliqa,ZIL,0.20227064346098,53,183093535.31472108,2254666786.7361836
Ethereum Classic,ETC,19.29158128231556,54,2431011475.3673673,2243867461.872773
